Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53340916,Kongres futurologiczny,Stanisław Lem,"Lem, Stanisław",,"=""8308070310""","=""9788308070314""",4,4.18,Wydawnictwo Literackie,Paperback,202,2012,1971,2024/06/27,2023/04/21,,,read,,,,1,0
3013682,"Diuna (Kroniki Diuny, #1)",Frank Herbert,"Herbert, Frank","Marek Marszał, Wojciech Siudmak","=""""","=""9788373017238""",0,4.28,Dom Wydawniczy Rebis,Hardcover,672,2012,1965,,2024/06/26,to-read,to-read (#21),to-read,,,,0,0
3577453,Golem XIV,Stanisław Lem,"Lem, Stanisław",Jozef Marušiak,"=""8088965713""","=""""",0,3.93,Drewo a srd ,,165,2003,1973,,2024/06/26,to-read,to-read (#20),to-read,,,,0,0
5956536,"Doskonała próżnia (Stanisław Lem. Dzieła, #6)",Stanisław Lem,"Lem, Stanisław","Jacek Dukaj, Jerzy Jarzębski, Wojciech Orliński","=""8375524069""","=""9788375524062""",0,4.14,Agora SA,Hardcover,228,2008,1971,,2024/06/26,to-read,to-read (#19),to-read,,,,0,0
5956539,Bajki robotów,Stanisław Lem,"Lem, Stanisław","Jerzy Jarzębski, Michael Kandel, Wojciech Orliński","=""""","=""9788375524079""",0,3.70,Agora SA,Hardcover,126,2008,1964,,2024/06/24,to-read,to-read (#18),to-read,,,,0,0
54237116,Mrok nad Tokyoramą,Robert J. Szmidt,"Szmidt, Robert J.",,"=""8324077979""","=""9788324077977""",2,3.52,Społeczny Instytut Wydawniczy Znak,Paperback,480,2020,2020,2024/06/16,2023/03/19,,,read,"nie wiem czy to się nadaje nawet na taką ocenę, główny bohater jest taki nudny tak jak cala historia z tą zemstą. Zakończenie książki i epilog są tragiczne XD (aczkolwiek rozumiem taki urok cyberpunka że happy ending nie istnieje). Gdyby Motherhacker byłaby główną bohaterką to dałbym 5/5, no ale cóż mamy Tymurę którego nie da się lubić.<br/><br/><br/>(Nawet musiałem zrobić sobie kilku miesięczną przerwę żeby to dokończyć xppp) <br/>W sumie to oceniam tą książkę na 1,5/5 - nie zasługuje na tą 2 ",,,1,0
38328081,"Koniec śmierci (Wspomnienie o przeszłości Ziemi, #3)",Liu Cixin,"Cixin, Liu",Andrzej Jankowski,"=""8380622855""","=""9788380622852""",0,4.41,Dom Wydawniczy Rebis,Paperback,840,2018,2010,,2024/05/28,to-read,to-read (#17),to-read,,,,0,0
174668480,Mord nocy letniej,Agatha Christie,"Christie, Agatha",,"=""8327164295""","=""9788327164292""",4,3.82,Dolnośląskie,Hardcover,288,2023,2021,2024/06/03,2023/11/03,,,read,Giga słabe 3.5/5 ale taki urok zbiorów opowiadań I guess.<br/><br/>(daje 4/5 bo ma dojebana okładkę hihi ,,,1,0
62560706,Świrownia,Łukasz Radecki,"Radecki, Łukasz",,"=""8382030289""","=""9788382030280""",4,3.30,Nowa Basn,Paperback,,2022,,2024/05/22,2024/05/17,,,read,Fajny koncept ale doszedłem do momentu w którym musiałem podążać za wyborem który podjąłem w przeszłości problem był taki że nigdy nie byłem nawet na takiej stronie aby go podjąć XD ,,,1,0
62966999,Cyberpunk 2077: No Coincidence,Rafał Kosik,"Kosik, Rafał",Stefan Kiełbasiewicz,"=""0759555958""","=""9780759555952""",4,3.51,Orbit,Paperback,416,2023,2023,2024/04/19,2023/08/24,,,read,,,,1,0
23215758,"Miasto cieni (Osobliwy dom Pani Peregrine, #2)",Ransom Riggs,"Riggs, Ransom",Małgorzata Hesko-Kołodzińska,"=""8380080106""","=""9788380080102""",4,4.07,Media Rodzina,Hardcover,440,2014,2014,2024/03/06,2023/07/14,,,read,,,,1,0
56179338,"All of Us Villains (All of Us Villains, #1)",Amanda Foody,"Foody, Amanda",C.L. Herman,"=""1250789257""","=""9781250789259""",3,3.85,Tor Teen,Hardcover,400,2021,2021,2023/02/15,2024/03/03,,,read,,,,2,0
6961326,Antygona,Sophocles,"Sophocles, Sophocles","Sofokles, Kazimierz Morawski","=""""","=""""",0,3.68,GREG,Paperback,78,2012,-441,,2024/02/02,,,read,,,,1,0
6109015,Zbrodnia i kara,Fyodor Dostoevsky,"Dostoevsky, Fyodor","J.P. Zajączkowski, Fjodor Dostojewski","=""8373377336""","=""9788373377332""",0,4.28,Prószyński i S-ka,Paperback,452,2004,1866,,2024/02/02,to-read,to-read (#16),to-read,,,,0,0
194746,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""""","=""""",0,3.96,New Directions,Paperback,176,1958,1948,,2024/01/30,to-read,to-read (#15),to-read,,,,0,0
68050427,"O kocie, który ratował książki (O kocie, który..., #1)",Sōsuke Natsukawa,"Natsukawa, Sōsuke",Anna Zalewska,"=""8324073795""","=""9788324073795""",5,3.72,Flow Books,Hardcover,266,2023,2017,2024/01/15,2023/12/25,,,read,,,,1,0
173476065,Baby X,Kira Peikoff,"Peikoff, Kira",,"=""1639106332""","=""9781639106332""",0,3.83,Crooked Lane Books,Hardcover,326,2024,2024,,2023/12/30,to-read,to-read (#14),to-read,,,,0,0
150293898,Olśnienie,Poul Anderson,"Anderson, Poul",Martyna Plisenko,"=""8383380194""","=""9788383380193""",0,3.70,Dom Wydawniczy Rebis,Hardcover,216,2023,1954,,2023/12/27,to-read,to-read (#13),to-read,,,,0,0
55317286,Człowiek do przeróbki,Alfred Bester,"Bester, Alfred",Andrzej Sawicki,"=""838188098X""","=""9788381880985""",0,3.97,Dom Wydawniczy Rebis,Hardcover,296,2020,1953,,2023/12/27,to-read,to-read (#12),to-read,,,,0,0
52455946,Przestrzeni! Przestrzeni!,Harry Harrison,"Harrison, Harry",Radosław Kot,"=""8380626087""","=""9788380626089""",0,3.71,Dom Wydawniczy Rebis,Hardcover,288,2019,1966,,2023/12/27,to-read,to-read (#11),to-read,,,,0,0
59909898,Tango,Sławomir Mrożek,"Mrożek, Sławomir",,"=""8373927972""","=""9788373927971""",3,3.85,Noir sur Blanc,Paperback,208,2022,1968,2023/12/27,2023/12/21,,,read,"Potrzebuje namiary na dilera od Artura, albo Mrożka. (nie wiem kto był tam bardziej naćpany)<br/><br/><br/>Dosłownie jedyny plus tej książki jest to długość tej książki. Z każdym razem kiedy myślałem że już się dowiem o co chodzi w tej książce to pojawia się Artur i mówi A KURWA CHCIAŁBYŚ CO. Cała ta rodzina jest spierdolona nie wiem co się dzieje w tej książkę ale Artur sam nie wiedział co on odpierdala więc chyba git.<br/><br/>Daje 3 gwiazdki bo książka jest krótka i można się czasem pośmiać ",true,,1,0
56654165,"Kwestia sumienia (After Such Knowledge, #4)",James Blish,"Blish, James",Radosław Kot,"=""8381882222""","=""9788381882224""",4,3.61,Dom Wydawniczy Rebis,Hardcover,256,2021,1958,2023/12/25,2023/06/19,,,read,"4.25/5 ??<br/><br/>Księga pierwsza i połowa drugiej bardzo dobrze napisana i wciągająca, ale totalnie nie ogarniam zakończenia. <br/>(I DLACZEGO JEZUITA PRZYPISUJE SOBIE ZASŁUGI ROZWALENIA PLANETY MODLITWA CZY TAM EGZORCYZMEM ",true,,1,0
61295157,Folwark zwierzęcy,George Orwell,"Orwell, George",Maja Justyna,"=""""","=""""",0,4.00,Dom Wydawniczy Rebis,Hardcover,136,2022,1945,,2023/12/25,to-read,to-read (#10),to-read,,,,0,0
59714339,Noc w bibliotece,Agatha Christie,"Christie, Agatha",,"=""""","=""""",0,3.82,Wydawnictwo Dolnośląskie,ebook,208,2021,1942,,2023/12/25,to-read,to-read (#9),to-read,,,,0,0
62807298,Śmierć nadchodzi jesienią,Agatha Christie,"Christie, Agatha",Marta Kisiel-Małecka,"=""""","=""""",0,3.75,Dolnośląskie,Hardcover,400,2022,2019,,2023/12/25,to-read,to-read (#8),to-read,,,,0,0
57965479,Więcej niż człowiek,Theodore Sturgeon,"Sturgeon, Theodore",Jolanta Pers,"=""8381882893""","=""9788381882897""",0,3.94,Dom Wydawniczy Rebis,Hardcover,280,2021,1953,,2023/12/25,to-read,to-read (#7),to-read,,,,0,0
162432524,"Mallaroy (Mallaroy, #1)",A.M. Juna,"Juna, A.M.",,"=""8382525245""","=""9788382525243""",0,4.21,SeeYA ,Paperback,480,2023,2023,,2023/12/25,to-read,to-read (#6),to-read,,,,0,0
122752399,A miało być jak w bajce,F.T. Lukens,"Lukens, F.T.",Maciejka Mazan,"=""832408827X""","=""9788324088270""",0,3.91,ODYSEYA,Paperback,320,2023,2022,,2023/12/25,to-read,to-read (#5),to-read,,,,0,0
61842689,Planeta małp,Pierre Boulle,"Boulle, Pierre",Agata Kozak,"=""8367515196""","=""9788367515191""",0,3.99,ArtRage,Hardcover,216,2023,1963,,2023/12/24,to-read,to-read (#4),to-read,,,,0,0
35261523,Wizja lokalna,Stanisław Lem,"Lem, Stanisław",,"=""8308063357""","=""9788308063354""",0,3.94,Wydawnictwo Literackie,Paperback,476,2017,1982,,2023/12/24,to-read,to-read (#3),to-read,,,,0,0
40529462,Dżuma,Albert Camus,"Camus, Albert",Joanna Guze,"=""8306033779""","=""9788306033779""",2,4.02,Państwowy Instytut Wydawniczy,Paperback,304,2018,1947,2023/11/07,2023/09/23,,,read,,,,1,0
117703749,Muchomory w cukrze,Marta Bijan,"Bijan, Marta",,"=""8383213409""","=""9788383213408""",4,3.75,Young,Paperback,280,2023,2023,2023/09/21,2023/06/02,,,read,3.75/5,,,1,0
30719089,"Mroczniejszy odcień magii (Odcienie magii, #1)",Victoria E. Schwab,"Schwab, Victoria E.",Ewa Wojtczak,"=""8365521156""","=""9788365521156""",3,4.04,Zysk i S-ka,Paperback,407,2016,2015,2023/09/06,2023/06/01,,,read,3.5/5,,,1,0
58151692,"Koniec maskarady (Czas Żniw, #4)",Samantha Shannon,"Shannon, Samantha","Maciej Pawlak, Regina Kołek","=""8381298008""","=""9788381298001""",5,4.46,SQN,Paperback,672,2021,2021,2023/08/06,2023/02/08,,,read,"6/5<br/>Najlepsza część serii, ale ta scena Paige i Naczelnika ",,,1,0
